Fri Mar 22 2019 00:44:34, 59, 0.7283, 0.0158, 0 h 2 m 26.675737s
Fri Mar 22 2019 00:44:36, 60, 0.9665, 0.0126, 0 h 2 m 28.504900s
Fri Mar 22 2019 00:44:38, 61, 0.9352, 0.0132, 0 h 2 m 30.328973s
Fri Mar 22 2019 00:44:39, 62, 0.8973, 0.0131, 0 h 2 m 32.24658s
Fri Mar 22 2019 00:44:41, 63, 0.8797, 0.0027, 0 h 2 m 33.650104s
Fri Mar 22 2019 00:44:43, 64, 0.5413, 0.0076, 0 h 2 m 35.275824s
Fri Mar 22 2019 00:44:44, 65, 0.5332, 0.0046, 0 h 2 m 36.909743s
Fri Mar 22 2019 00:44:46, 66, -0.0572, 0.0126, 0 h 2 m 38.511045s
Fri Mar 22 2019 00:44:47, 67, 0.9036, 0.0046, 0 h 2 m 40.155236s
Fri Mar 22 2019 00:44:49, 68, 0.9398, 0.0050, 0 h 2 m 41.770102s
Fri Mar 22 2019 00:44:51, 69, 0.9471, 0.0101, 0 h 2 m 43.390112s
Fri Mar 22 2019 00:44:52, 70, -0.2975, 0.4936, 0 h 2 m 45.15235s
Fri Mar 22 2019 00:44:54, 71, 0.9602, 0.0038, 0 h 2 m 46.621014s
Fri Mar 22 2019 00:44:56, 72, 0.9815, 0.0012, 0 h 2 m 48.271030s
Fri Mar 22 2019 00:44:57, 73, 0.9828, 0.0027, 0 h 2 m 49.912435s
Fri Mar 22 2019 00:44:59, 74, 0.9811, 0.0021, 0 h 2 m 51.547290s
Fri Mar 22 2019 00:45:01, 75, 0.9941, 0.0011, 0 h 2 m 53.187836s
Fri Mar 22 2019 00:45:02, 76, 0.5048, 0.1554, 0 h 2 m 54.849270s
Fri Mar 22 2019 00:45:04, 77, 0.8028, 0.0372, 0 h 2 m 56.496314s
Fri Mar 22 2019 00:45:06, 78, 0.7597, 0.0074, 0 h 2 m 58.181221s
Fri Mar 22 2019 00:45:07, 79, 0.8585, 0.0183, 0 h 2 m 59.853614s
Fri Mar 22 2019 00:45:09, 80, 0.8180, 0.0070, 0 h 3 m 1.532691s
Fri Mar 22 2019 00:45:11, 81, 0.7754, 0.0069, 0 h 3 m 3.183690s
Fri Mar 22 2019 00:45:12, 82, -0.0961, 0.0771, 0 h 3 m 4.886233s
Fri Mar 22 2019 00:45:14, 83, 0.9412, 0.0019, 0 h 3 m 6.558608s
Fri Mar 22 2019 00:45:16, 84, 0.9607, 0.0036, 0 h 3 m 8.192973s
