0 50 51
1 0
2 22 23
3 87
4 101 102
5 101 102
6 86
7 56
8 94
9 0
10 22 23
11 19 20 21
12 65
13 3
14 82
15 108 109
16 75
17 45 46 47
18 105 106 107
19 76 77 78
20 11 12
21 24 25 26
22 29 30
23 24 25 26
24 97 98
25 27 28
26 19 20 21
27 99 100
28 33 34
29 48 49
30 22 23
31 103 104
32 9 10
33 14 15 16
34 6 7
35 86
36 38 39 40 41
37 103 104
38 42 43 44
39 45 46 47
40 83 84 85
41 36 37
42 38 39 40 41
43 17 18
44 69 70 71
45 38 39 40 41
46 17 18
47 103 104
48
49 1 2
50 1 2
51
52 54 55
53 69 70 71
54 52 53
55 105 106 107
56 59 60
57 4
58 59 60
59 56
60 4
61 92 93
62 5
63 66 67 68
64 79 80 81
65 66 67 68
66 65
67 63 64
68 11 12
69 101 102
70 52 53
71 42 43 44
72 83 84 85
73 75
74 89 90
75 76 77 78
76 110
77 79 80 81
78 19 20 21
79 82
80 76 77 78
81 63 64
82 3
83 72
84 38 39 40 41
85 97 98
86
87 108 109
88 91
89 110
90 88
91 29 30
92 95 96
93 94
94 73 74
95
96 13
97 9 10
98 36 37
99 83 84 85
100 42 43 44
101 99 100
102 33 34
103 45 46 47
104 31 32
105 69 70 71
106 17 18
107 54 55
108 87
109 27 28
110 91
